ECC Type,Capacity,CE,UE,SDC,UE+SDC,Critical Error Rate,Total
No ECC,2GB,0,0,2821,2821,0.0000282100,2821
No ECC,4GB,0,0,4769,4769,0.0000476900,4769
No ECC,8GB,0,0,5596,5596,0.0000559600,5596
No ECC,16GB,0,0,9180,9180,0.0000918000,9180
No ECC,32GB,1,0,29088,29088,0.0002908800,29089
No ECC,64GB,1,0,55225,55225,0.0005522500,55226
No ECC,128GB,0,0,104112,104112,0.0010411200,104112
SECDED,2GB,1486,1429,0,1429,0.0000142900,2915
SECDED,4GB,2766,1785,0,1785,0.0000178500,4551
SECDED,8GB,2838,2680,0,2680,0.0000268000,5518
SECDED,16GB,5758,3363,0,3363,0.0000336300,9121
SECDED,32GB,22711,6214,0,6214,0.0000621400,28925
SECDED,64GB,45241,9821,0,9821,0.0000982100,55062
SECDED,128GB,90305,13690,0,13690,0.0001369000,103995
ChipKill,2GB,2825,0,0,0,0.0000000000,2825
ChipKill,4GB,4616,0,0,0,0.0000000000,4616
ChipKill,8GB,5426,0,0,0,0.0000000000,5426
ChipKill,16GB,9006,0,0,0,0.0000000000,9006
ChipKill,32GB,29139,0,0,0,0.0000000000,29139
ChipKill,64GB,55422,0,0,0,0.0000000000,55422
ChipKill,128GB,103600,0,0,0,0.0000000000,103600
